time,bid-price,bid-volume,ask-price,ask-volume
2008-01-02 18:21:05.769999616,62.5,61,62.51,11
2008-01-02 18:21:06.578999808,62.5,61,62.51,1
2008-01-02 18:21:06.628999680,62.5,61,62.53,2
2008-01-02 18:21:07.112000256,62.5,61,62.53,1
2008-01-02 18:21:07.233999872,62.5,63,62.53,1
2008-01-02 18:21:07.233999872,62.5,64,62.53,1
2008-01-02 18:21:07.233999872,62.5,62,62.53,1
2008-01-02 18:21:07.233999872,62.5,61,62.53,1
2008-01-02 18:21:07.370000384,62.51,1,62.53,1
2008-01-02 18:21:07.772000512,62.51,1,62.54,1
2008-01-02 18:21:07.780000000,62.51,1,62.56,5
2008-01-02 18:21:07.937999872,62.51,1,62.55,1
2008-01-02 18:21:08.057999616,62.51,2,62.55,1
2008-01-02 18:21:08.083999488,62.52,1,62.55,1
2008-01-02 18:21:08.102000128,62.52,1,62.57,17
2008-01-02 18:21:08.151999744,62.52,1,62.56,1
2008-01-02 18:21:08.167000576,62.52,1,62.55,2
2008-01-02 18:21:08.413999872,62.52,8,62.55,2
2008-01-02 18:21:08.466999552,62.52,8,62.56,1
2008-01-02 18:21:08.717999616,62.52,7,62.56,1
2008-01-02 18:21:08.717999616,62.52,7,62.56,3
2008-01-02 18:21:09.768000256,62.53,1,62.56,3
2008-01-02 18:21:10.042000384,62.53,1,62.56,2
2008-01-02 18:21:10.042000384,62.54,2,62.56,2
2008-01-02 18:21:10.042000384,62.53,1,62.56,2
2008-01-02 18:21:10.930000384,62.53,1,62.56,3
2008-01-02 18:21:10.945999872,62.55,1,62.56,3
2008-01-02 18:21:13.373000448,62.55,1,62.56,1
2008-01-02 18:21:13.538000128,62.53,1,62.55,1
2008-01-02 18:21:14.080999936,62.53,1,62.56,1
2008-01-02 18:21:14.080999936,62.53,1,62.56,3
2008-01-02 18:21:14.518999808,62.53,2,62.56,3
2008-01-02 18:21:15.412000000,62.53,2,62.55,1
2008-01-02 18:21:15.624999936,62.53,1,62.55,1
